setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,break_tier,break_close_atr,break_excess,break_body_atr,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0053,BTCUSD,2025-01-09T09:00:00+00:00,2025-01-10T10:00:00+00:00,2025-01-10T13:00:00+00:00,London,bearish,BOS BOS,50pct,95239.25,95668.9,93605.0,,3.989,,tp1,93605.0,3.804,3.989,0.0,951.0,True,,5.902,-0.001,3,3,-1,20,discount,0.0,,4.0,3.0,0.0,0.0,0.0,1.0,structure,False,h1_only,2025-01-08T13:00:00+00:00,BOS,BOS,False,False,False,,,,,False,9,bearish,with_trend,2025-01-09T08:00:00+00:00,1,2025-01-08T17:00:00+00:00,SHORT,counter,26.9,False,3,marginal,0.71,1.04,1.04,no_fvg,NY,London,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0054,BTCUSD,2025-01-09T14:00:00+00:00,2025-01-09T15:00:00+00:00,2025-01-09T15:00:00+00:00,NY,bearish,BOS BOS,proximal,92926.6,93739.9,91510.0,,1.79,,sl,93739.9,-1.0,-1.0,-1.0,-250.0,True,,0.391,-1.99,0,-1,-1,5,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-09T09:00:00+00:00,BOS,BOS,False,False,False,,,,,False,14,bearish,with_trend,2025-01-09T13:00:00+00:00,1,2025-01-09T13:00:00+00:00,SHORT,counter,10.1,False,4,solid,1.01,1.89,1.89,no_fvg,London,NY,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0055,BTCUSD,2025-01-09T14:00:00+00:00,2025-01-09T15:00:00+00:00,2025-01-09T15:00:00+00:00,NY,bearish,BOS BOS,50pct,93313.25,93739.9,91510.0,,4.434,,sl,93739.9,-1.0,-1.0,-1.0,-250.0,True,,1.651,-2.886,0,-1,-1,5,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-09T09:00:00+00:00,BOS,BOS,False,False,False,,,,,False,14,bearish,with_trend,2025-01-09T13:00:00+00:00,1,2025-01-09T13:00:00+00:00,SHORT,counter,13.7,False,4,solid,1.01,1.89,1.89,no_fvg,London,NY,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0056,BTCUSD,2025-01-13T11:00:00+00:00,2025-01-13T21:00:00+00:00,2025-01-14T01:00:00+00:00,London,bearish,BOS BOS,proximal,94145.6,94917.9,92959.83,,1.58,,sl,94917.9,-1.0,-1.0,-1.0,-250.0,True,,1.027,-1.122,4,-1,-1,7,premium,0.0,,7.0,3.0,1.0,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-01-13T04:00:00+00:00,BOS,BOS,True,True,False,,,,,False,11,bearish,with_trend,2025-01-13T10:00:00+00:00,1,2025-01-13T09:00:00+00:00,SHORT,aligned,61.3,False,1,marginal,1.31,1.5,1.5,fresh,Asia,Other,False,False,Neither,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0057,BTCUSD,2025-01-13T11:00:00+00:00,2025-01-13T22:00:00+00:00,2025-01-14T01:00:00+00:00,London,bearish,BOS BOS,50pct,94511.75,94917.9,92959.83,,4.019,,sl,94917.9,-1.0,-1.0,-1.0,-250.0,True,,1.01,-1.232,3,-1,-1,7,premium,0.0,,7.0,3.0,1.0,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-01-13T04:00:00+00:00,BOS,BOS,True,True,False,,,,,False,11,bearish,with_trend,2025-01-13T10:00:00+00:00,1,2025-01-13T09:00:00+00:00,SHORT,aligned,69.3,False,1,marginal,1.31,1.5,1.5,fresh,Asia,Other,False,False,Neither,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0058,BTCUSD,2025-01-14T04:00:00+00:00,,,Asia,bullish,BOS BOS,proximal,92249.9,91180.1,93825.3,,1.5,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,12,discount,0.0,,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-13T16:00:00+00:00,BOS,BOS,True,False,False,,,,,False,4,bullish,with_trend,2025-01-14T03:00:00+00:00,1,2025-01-13T20:00:00+00:00,LONG,aligned,47.0,False,2,marginal,0.48,1.23,1.23,fresh,NY,Asia,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0059,BTCUSD,2025-01-14T04:00:00+00:00,,,Asia,bullish,BOS BOS,50pct,91735.0,91180.1,93825.3,,3.908,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,12,discount,0.0,,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-13T16:00:00+00:00,BOS,BOS,True,False,False,,,,,False,4,bullish,with_trend,2025-01-14T03:00:00+00:00,1,2025-01-13T20:00:00+00:00,LONG,aligned,39.5,False,2,marginal,0.48,1.23,1.23,fresh,NY,Asia,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0060,BTCUSD,2025-01-14T10:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,95133.0,94770.1,95822.0,,2.01,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,1.0,True,8.0,4.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2025-01-14T07:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,10,bearish,against_trend,2025-01-14T09:00:00+00:00,1,2025-01-14T08:00:00+00:00,LONG,counter,73.4,False,0,solid,3.24,1.51,2.27,fresh,London,London,True,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0061,BTCUSD,2025-01-14T10:00:00+00:00,,,London,bullish,CHoCH CHoCH,50pct,94971.55,94770.1,95822.0,,4.687,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,1.0,True,8.0,4.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2025-01-14T07:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,10,bearish,against_trend,2025-01-14T09:00:00+00:00,1,2025-01-14T08:00:00+00:00,LONG,counter,71.5,False,0,solid,3.24,1.51,2.27,fresh,London,London,True,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0062,BTCUSD,2025-01-15T14:00:00+00:00,,,NY,bullish,Confirmation BOS,proximal,96899.9,96443.0,97687.9,,1.8,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,0.0,,6.2,4.0,1.22,0.0,1.0,0.0,"structure,sweep,freshness",False,h1_only,2025-01-15T11:00:00+00:00,BOS,Confirm,False,True,False,,,,,False,14,bullish,with_trend,2025-01-15T13:00:00+00:00,1,2025-01-15T13:00:00+00:00,LONG,counter,79.0,False,1,strong,2.29,2.96,2.96,no_fvg,London,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0063,BTCUSD,2025-01-15T14:00:00+00:00,,,NY,bullish,Confirmation BOS,50pct,96691.45,96443.0,97687.9,,4.362,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,0.0,,6.2,4.0,1.22,0.0,1.0,0.0,"structure,sweep,freshness",False,h1_only,2025-01-15T11:00:00+00:00,BOS,Confirm,False,True,False,,,,,False,14,bullish,with_trend,2025-01-15T13:00:00+00:00,1,2025-01-15T13:00:00+00:00,LONG,counter,76.9,False,1,strong,2.29,2.96,2.96,no_fvg,London,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0064,BTCUSD,2025-01-16T15:00:00+00:00,2025-01-16T16:00:00+00:00,2025-01-16T16:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,98840.0,99519.5,97745.73,,1.66,,sl,99519.5,-1.0,-1.0,-1.0,-250.0,True,,0.0,-1.482,0,-1,-1,3,premium,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-16T12:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,15,bullish,against_trend,2025-01-16T14:00:00+00:00,1,2025-01-16T14:00:00+00:00,SHORT,aligned,83.0,False,0,marginal,2.39,1.5,2.25,no_fvg,London,NY,True,False,OB only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0065,BTCUSD,2025-01-16T15:00:00+00:00,2025-01-16T16:00:00+00:00,2025-01-16T16:00:00+00:00,NY,bearish,CHoCH CHoCH,50pct,99159.75,99519.5,97745.73,,4.162,,sl,99519.5,-1.0,-1.0,-1.0,-250.0,True,,0.377,-1.91,0,-1,-1,3,premium,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-16T12:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,15,bullish,against_trend,2025-01-16T14:00:00+00:00,1,2025-01-16T14:00:00+00:00,SHORT,aligned,85.7,False,0,marginal,2.39,1.5,2.25,no_fvg,London,NY,True,False,OB only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0066,BTCUSD,2025-01-20T08:00:00+00:00,2025-01-20T17:00:00+00:00,2025-01-21T00:00:00+00:00,London,bullish,BOS BOS,proximal,101636.7,99461.0,104959.3,,1.54,,sl,101636.7,0.0,1.54,1.025,0.0,True,,2.369,-0.495,7,21,-1,8,discount,0.0,,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-20T00:00:00+00:00,BOS,BOS,True,False,False,,,,,False,8,bullish,with_trend,2025-01-20T07:00:00+00:00,1,2025-01-20T06:00:00+00:00,LONG,aligned,-7.4,False,3,solid,0.54,2.37,2.37,fresh,Asia,NY,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0067,BTCUSD,2025-01-20T08:00:00+00:00,2025-01-20T17:00:00+00:00,2025-01-21T01:00:00+00:00,London,bullish,BOS BOS,50pct,100568.85,99461.0,104959.3,,4.036,,sl,100568.85,0.0,4.036,2.977,0.0,True,,5.616,-0.426,8,21,-1,8,discount,0.0,,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-20T00:00:00+00:00,BOS,BOS,True,False,False,,,,,False,8,bullish,with_trend,2025-01-20T07:00:00+00:00,1,2025-01-20T06:00:00+00:00,LONG,aligned,-21.2,False,3,solid,0.54,2.37,2.37,fresh,Asia,NY,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0068,BTCUSD,2025-01-21T10:00:00+00:00,2025-01-21T18:00:00+00:00,2025-01-22T13:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,106694.1,108211.4,104390.14,,1.54,,tp1,104390.14,1.518,1.54,0.0,379.5,True,,1.912,-0.353,19,19,-1,21,premium,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-20T13:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,10,bearish,with_trend,2025-01-21T09:00:00+00:00,1,2025-01-20T17:00:00+00:00,SHORT,aligned,66.7,False,0,solid,1.05,1.78,2.68,no_fvg,NY,NY,True,False,OB only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0069,BTCUSD,2025-01-21T10:00:00+00:00,,,London,bearish,CHoCH CHoCH,50pct,107432.75,108211.4,104390.14,,4.011,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,21,premium,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-20T13:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,10,bearish,with_trend,2025-01-21T09:00:00+00:00,1,2025-01-20T17:00:00+00:00,SHORT,aligned,74.2,False,0,solid,1.05,1.78,2.68,no_fvg,NY,London,True,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0070,BTCUSD,2025-01-21T15:00:00+00:00,2025-01-23T02:00:00+00:00,2025-01-23T04:00:00+00:00,NY,bullish,Confirmation BOS,proximal,102462.9,101776.4,103481.17,,1.53,,sl,101776.4,-1.0,-1.0,-1.0,-250.0,True,,0.734,-1.327,2,-1,-1,8,discount,0.0,,7.7,4.0,1.67,0.0,1.0,1.0,"structure,sweep,freshness",False,h1_only,2025-01-21T07:00:00+00:00,BOS,Confirm,False,True,False,,,,,False,15,bullish,with_trend,2025-01-21T14:00:00+00:00,1,2025-01-21T13:00:00+00:00,LONG,aligned,23.9,False,1,marginal,0.99,1.0,1.0,fresh,London,Asia,True,False,OB only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0071,BTCUSD,2025-01-21T15:00:00+00:00,2025-01-23T02:00:00+00:00,2025-01-23T04:00:00+00:00,NY,bullish,Confirmation BOS,50pct,102139.65,101776.4,103481.17,,3.908,,sl,102139.65,0.0,-1.0,-1.0,0.0,True,,2.278,-1.618,2,-1,-1,8,discount,0.0,,7.7,4.0,1.67,0.0,1.0,1.0,"structure,sweep,freshness",False,h1_only,2025-01-21T07:00:00+00:00,BOS,Confirm,False,True,False,,,,,False,15,bullish,with_trend,2025-01-21T14:00:00+00:00,1,2025-01-21T13:00:00+00:00,LONG,aligned,20.7,False,1,marginal,0.99,1.0,1.0,fresh,London,Asia,True,False,OB only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0072,BTCUSD,2025-01-22T14:00:00+00:00,2025-01-22T15:00:00+00:00,2025-01-22T16:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,105030.8,105596.0,104167.28,,1.58,,tp1,104167.28,1.528,1.58,0.0,382.0,True,,3.106,-0.181,1,1,-1,2,premium,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-22T12:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,14,bullish,against_trend,2025-01-22T13:00:00+00:00,1,2025-01-22T13:00:00+00:00,SHORT,aligned,69.2,False,0,marginal,2.07,1.21,1.81,no_fvg,London,NY,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0073,BTCUSD,2025-01-22T14:00:00+00:00,2025-01-23T14:00:00+00:00,2025-01-23T14:00:00+00:00,NY,bearish,CHoCH CHoCH,50pct,105293.4,105596.0,104167.28,,3.985,,sl,105596.0,-1.0,-1.0,-1.0,-250.0,True,,11.069,-2.328,0,-1,-1,2,premium,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-22T12:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,14,bullish,against_trend,2025-01-22T13:00:00+00:00,1,2025-01-22T13:00:00+00:00,SHORT,aligned,72.9,False,0,marginal,2.07,1.21,1.81,no_fvg,London,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0074,BTCUSD,2025-01-23T15:00:00+00:00,,,NY,bearish,CHoCH CHoCH,proximal,107801.0,108619.4,105424.0,,2.98,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,76,premium,1.0,True,6.0,4.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-20T11:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,15,bullish,against_trend,2025-01-23T14:00:00+00:00,1,2025-01-20T17:00:00+00:00,SHORT,aligned,122.3,False,0,strong,2.09,3.56,5.33,fresh,London,NY,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0075,BTCUSD,2025-01-23T15:00:00+00:00,,,NY,bearish,CHoCH CHoCH,50pct,108190.2,108619.4,105424.0,,6.76,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,76,premium,1.0,True,6.0,4.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-20T11:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,15,bullish,against_trend,2025-01-23T14:00:00+00:00,1,2025-01-20T17:00:00+00:00,SHORT,aligned,137.5,False,0,strong,2.09,3.56,5.33,fresh,London,NY,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0076,BTCUSD,2025-01-23T16:00:00+00:00,,,NY,bullish,Confirmation BOS,proximal,102093.6,101340.7,103276.9,,1.61,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,4,discount,0.0,,7.7,4.0,1.67,0.0,1.0,1.0,"structure,sweep,freshness",False,h1_only,2025-01-23T12:00:00+00:00,BOS,Confirm,False,True,False,,,,,False,16,bullish,with_trend,2025-01-23T15:00:00+00:00,1,2025-01-23T14:00:00+00:00,LONG,aligned,14.7,False,1,solid,1.49,2.16,2.16,no_fvg,London,NY,True,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0077,BTCUSD,2025-01-23T16:00:00+00:00,,,NY,bullish,Confirmation BOS,50pct,101737.15,101340.7,103276.9,,4.09,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,4,discount,0.0,,7.7,4.0,1.67,0.0,1.0,1.0,"structure,sweep,freshness",False,h1_only,2025-01-23T12:00:00+00:00,BOS,Confirm,False,True,False,,,,,False,16,bullish,with_trend,2025-01-23T15:00:00+00:00,1,2025-01-23T14:00:00+00:00,LONG,aligned,8.7,False,1,solid,1.49,2.16,2.16,no_fvg,London,NY,True,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0078,BTCUSD,2025-01-27T08:00:00+00:00,2025-01-27T12:00:00+00:00,2025-01-27T14:00:00+00:00,London,bearish,Confirmation BOS,proximal,100651.6,101856.4,98760.0,,1.6,,sl,101856.4,-1.0,-1.0,-1.0,-250.0,True,,1.648,-1.341,2,-1,-1,5,discount,0.0,,8.8,4.0,1.83,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-01-27T03:00:00+00:00,BOS,Confirm,True,True,False,,,,,False,8,bearish,with_trend,2025-01-27T07:00:00+00:00,1,2025-01-27T05:00:00+00:00,SHORT,counter,37.6,False,1,marginal,1.84,1.4,1.4,fresh,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0079,BTCUSD,2025-01-27T08:00:00+00:00,2025-01-27T13:00:00+00:00,2025-01-27T14:00:00+00:00,London,bearish,Confirmation BOS,50pct,101234.0,101856.4,98760.0,,4.107,,sl,101856.4,-1.0,-1.0,-1.0,-250.0,True,,2.034,-1.66,1,-1,-1,5,discount,0.0,,8.8,4.0,1.83,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-01-27T03:00:00+00:00,BOS,Confirm,True,True,False,,,,,False,8,bearish,with_trend,2025-01-27T07:00:00+00:00,1,2025-01-27T05:00:00+00:00,SHORT,counter,45.1,False,1,marginal,1.84,1.4,1.4,fresh,Asia,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0080,BTCUSD,2025-01-30T15:00:00+00:00,2025-01-30T17:00:00+00:00,2025-01-30T18:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,105279.1,104773.8,106376.5,,2.26,,sl,104773.8,-1.0,-1.0,-1.0,-250.0,True,,0.748,-1.138,1,-1,-1,3,premium,0.0,False,5.7,3.0,1.22,0.0,0.5,1.0,"structure,sweep,freshness",False,h1_only,2025-01-30T12:00:00+00:00,CHoCH,CHoCH,False,True,False,,,,,False,15,bearish,against_trend,2025-01-30T14:00:00+00:00,1,2025-01-30T13:00:00+00:00,LONG,counter,80.8,False,0,marginal,3.35,1.14,1.71,no_fvg,London,NY,True,False,OB only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0081,BTCUSD,2025-01-30T15:00:00+00:00,2025-01-30T17:00:00+00:00,2025-01-30T18:00:00+00:00,NY,bullish,CHoCH CHoCH,50pct,105046.45,104773.8,106376.5,,5.264,,sl,104773.8,-1.0,-1.0,-1.0,-250.0,True,,2.24,-1.256,1,-1,-1,3,premium,0.0,False,5.7,3.0,1.22,0.0,0.5,1.0,"structure,sweep,freshness",False,h1_only,2025-01-30T12:00:00+00:00,CHoCH,CHoCH,False,True,False,,,,,False,15,bearish,against_trend,2025-01-30T14:00:00+00:00,1,2025-01-30T13:00:00+00:00,LONG,counter,76.0,False,0,marginal,3.35,1.14,1.71,no_fvg,London,NY,True,False,OB only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
